City_ID,City,Country,Max Temp,Current Descrption,Lat,Long,Hotel Name
2,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
6,Acapulco de Juárez,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
9,Pangkalanbuun,ID,74.07,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
12,Nānākuli,US,82.35,broken clouds,21.3906,-158.1547,Camp Pālehua
15,Ituiutaba,BR,85.03,broken clouds,-18.9689,-49.465,Bernal Hotel
16,Faanui,PF,83.05,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
17,Luganville,VU,80.96,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
25,St. George's,GD,80.42,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
26,Rikitea,PF,79.0,few clouds,-23.1203,-134.9692,People ThankYou
29,George Town,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
30,Vila Velha,BR,85.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
31,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Awjilah,LY,89.78,broken clouds,29.1081,21.2869,المنزل
36,Dingle,PH,74.77,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
38,‘Āhuimanu,US,82.11,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
40,Saint George,US,81.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
44,Durant,US,84.49,clear sky,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
45,Tete,MZ,80.11,light rain,-16.1564,33.5867,Zambeze Paraíso Misterioso
46,Carnarvon,AU,71.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
49,Kāvali,IN,76.15,broken clouds,14.9167,79.9833,Hotel Mourya Paradise
50,Atar,MR,81.73,clear sky,20.5169,-13.0499,Oumou Elghoura
51,Salalah,OM,78.89,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
52,Richards Bay,ZA,72.12,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
53,Arraial do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
54,Butaritari,KI,81.0,light rain,3.0707,172.7902,Isles Sunset Lodge
57,Luanda,AO,77.29,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
59,Aiken,US,70.11,moderate rain,33.5835,-81.5998,Aiken Cottages
60,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
61,Maceió,BR,83.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
63,Atuona,PF,79.5,clear sky,-9.8,-139.0333,Villa Enata
65,Mana,GF,79.47,light rain,5.6592,-53.7767,LE SAMANA
66,Hong Kong,HK,70.18,scattered clouds,22.2855,114.1577,Mini Hotel Central
69,Tawao,MY,76.8,very heavy rain,4.2498,117.8871,Shervinton Executive Boutique Hotel
72,Puerto Carreño,CO,78.78,moderate rain,6.189,-67.4859,Casa Hotel Victoria
73,Castro,BR,73.2,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
74,Jacareacanga,BR,87.87,heavy intensity rain,-6.2222,-57.7528,Casa do Ian😎
76,Hilo,US,74.12,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
82,Puerto Ayora,EC,85.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
88,Mitsamiouli,KM,81.82,clear sky,-11.3847,43.2844,Foyer ADM
95,Praia,CV,71.01,few clouds,14.9215,-23.5087,LT Aparthotel
99,Beira,MZ,78.55,overcast clouds,-19.8436,34.8389,Beira Terrace Hotel
101,Sabha,LY,86.36,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
109,Sabang,ID,77.76,light rain,5.8933,95.3214,Hotel Citra
110,Cabo San Lucas,MX,79.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
112,Hambantota,LK,77.47,scattered clouds,6.1241,81.1185,Bungalow 63
116,Rawson,AR,75.67,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
120,Winfield,US,71.69,scattered clouds,37.2398,-96.9956,Sonner Motor Inn
123,Hualmay,PE,74.25,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
126,Mt. Pleasant,US,75.07,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
127,Kiryat Gat,IL,78.4,overcast clouds,31.61,34.7642,OlusHome
131,Ferkessédougou,CI,88.34,overcast clouds,9.6,-5.2,Hotel Chateau
137,Quatre Cocos,MU,78.1,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
138,Bambous Virieux,MU,78.22,moderate rain,-20.3428,57.7575,Casa Tia Villa
143,Buchanan,LR,80.64,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
147,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
148,Omboué,GA,78.69,scattered clouds,-1.5746,9.2618,Hotel Olako
149,Marsh Harbour,BS,77.47,broken clouds,26.5412,-77.0636,Abaco Beach Resort
152,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
154,Bandarbeyla,SO,79.27,clear sky,9.4942,50.8122,JABIR HOTEL
158,Marabá,BR,86.18,broken clouds,-5.3686,-49.1178,Hotel Del Principe
162,Ambon City,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
166,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
168,Mehrān,IR,76.62,overcast clouds,33.1222,46.1646,بوتیک زنانه بهار
170,Springdale,US,74.93,clear sky,36.1867,-94.1288,Springdale Inn
173,Cairns,AU,73.35,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
176,Oddur,SO,78.66,clear sky,4.1213,43.8894,Banjanay Hotel
180,Mar del Plata,AR,76.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
184,Riyadh,SA,80.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
188,Malindi,KE,82.29,clear sky,-3.2175,40.1191,African House Resort
189,Barra do Garças,BR,86.68,clear sky,-15.89,-52.2567,Pousada Tropical
193,Iseyin,NG,82.42,light rain,7.9667,3.6,Momak Hotels And Suites
197,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
198,Nova Soure,BR,89.04,clear sky,-11.2333,-38.4833,Branca Hotel
200,Belmonte,BR,80.87,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
204,Oodweyne,SO,76.35,clear sky,9.4092,45.064,Eng Hiirey House
206,Meulaboh,ID,76.82,overcast clouds,4.1363,96.1285,Kost Pria
210,Sechura,PE,83.17,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
212,Lorengau,PG,81.1,very heavy rain,-2.0226,147.2712,Lorengau Harbourside Hotel
218,Jardim,BR,82.96,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
221,Vallenar,CL,85.46,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
224,Kapoeta,SS,86.94,clear sky,4.7717,33.5903,Eastgate Hotel
226,Mahébourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
239,Puerto Escondido,MX,85.03,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
243,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
244,Turbat,PK,82.89,scattered clouds,26.0023,63.044,Mubashar Quarters
247,Kawalu,ID,71.29,overcast clouds,-7.3817,108.2082,West Jontor
249,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
254,Chiang Rai,TH,81.3,broken clouds,19.9167,99.9167,Imsuk Homestay at Chiang Rai
256,Māngrol,IN,78.49,broken clouds,21.1167,70.1167,Hotel The Royal Honours
258,Bagé,BR,76.78,few clouds,-31.3314,-54.1069,Hotel Obino - Bagé
261,Inírida,CO,78.53,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
262,Inhambane,MZ,78.1,scattered clouds,-23.865,35.3833,Oceano
263,Aquiraz,BR,84.29,light rain,-3.9014,-38.3911,Pousada Rua Camurupim
266,Bairiki Village,KI,80.46,light rain,1.3292,172.9752,Tarawa Boutique Hotel
267,Kishanganj,IN,77.81,scattered clouds,26.1167,87.9333,HOTEL SILVERSTAR
269,Lompoc,US,86.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
272,Sibolga,ID,75.88,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
273,Chandla,IN,83.86,clear sky,25.0833,80.2,Rest House
276,Wilmington Island,US,75.29,overcast clouds,32.0036,-80.9737,Breezeway Studio Manor LLC
277,Salinópolis,BR,77.2,heavy intensity rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
278,Cap Malheureux,MU,78.48,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
280,Aswān,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
282,Pyapon,MM,80.13,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
283,Waingapu,ID,76.77,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
288,Prestea,GH,79.07,overcast clouds,5.4327,-2.1428,Channel 5
295,Itarema,BR,80.44,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
299,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
300,Laguna,US,71.89,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
304,Aden,YE,81.63,clear sky,12.7794,45.0367,Sama Emirate Hotel
315,São Filipe,CV,71.19,clear sky,14.8961,-24.4956,Hotel Xaguate
317,Farafangana,MG,76.08,light rain,-22.8167,47.8333,Miarina
319,Cayenne,GF,77.04,light rain,4.9333,-52.3333,Hôtel Le Dronmi
321,Martapura,ID,71.69,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
326,Ambanja,MG,75.78,overcast clouds,-13.6833,48.45,Hotel Salama and Fast Food
329,Acajutla,SV,87.46,overcast clouds,13.5928,-89.8275,Laureles
330,Santa Isabel Rio Negro,BR,77.76,light rain,-0.4139,-65.0192,Hotel GSA
331,Rincon,US,75.16,overcast clouds,32.296,-81.2354,Days Inn Rincon
334,Xai-Xai,MZ,78.12,few clouds,-25.0519,33.6442,Complexo da Familia
337,Hithadhoo,MV,82.72,broken clouds,-0.6,73.0833,Scoop Guest House
341,Artigas,UY,71.38,overcast clouds,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
343,Florida,US,89.01,scattered clouds,28.7505,-82.5001,Sportsmens Cove
345,Dhidhdhoo,MV,83.44,few clouds,6.8833,73.1,Dhidhoo beach
346,Macapá,BR,82.38,scattered clouds,0.0389,-51.0664,Atalanta Hotel
347,Namatanai,PG,77.68,heavy intensity rain,-3.6667,152.4333,Seagulls Inn Namatani
350,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
352,Auki,SB,75.69,moderate rain,-8.7676,160.7034,Auki Motel
354,San Andrés,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
355,Waddān,LY,89.83,clear sky,29.1614,16.139,محل الشريف محمد العايب
364,Viedma,AR,78.49,clear sky,-40.8135,-62.9967,Hotel Cristal
371,Half Moon Bay,US,73.54,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
372,Guánica,PR,84.51,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
373,Dakoro,NE,88.09,clear sky,14.5106,6.765,Shagon mai liverpool
374,Wang Saphung,TH,75.74,broken clouds,17.301,101.7685,โรงแรมวังรีสอร์ท
375,Ambulu,ID,75.24,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
379,Bubaque,GW,75.54,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
380,Santo Antônio do Sudoeste,BR,79.75,moderate rain,-26.0736,-53.7253,Hotel Frontera
382,Calama,CL,73.89,scattered clouds,-22.4667,-68.9333,Park Hotel Calama
385,Voh,NC,73.42,moderate rain,-20.9667,164.7,Le gîte du Koniambo
386,Parāsia,IN,79.92,clear sky,22.2,78.7667,Hotel Navrang
387,Guerrero Negro,MX,75.18,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
388,Suez,EG,82.31,scattered clouds,29.9737,32.5263,Green House
391,Kpandae,GH,89.92,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
392,Dubai,AE,82.33,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
393,Ambilobe,MG,74.66,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
394,Anori,BR,82.8,broken clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
396,Kerema,PG,76.96,overcast clouds,-7.9631,145.7785,Frena Lodge
398,Trairi,BR,79.9,clear sky,-3.2778,-39.2689,janelas do mar
399,San Patricio,US,89.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
401,Ternate,ID,81.16,light rain,0.8,127.4,Sahid Bela Ternate Hotel
404,Isla Vista,US,87.69,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
406,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
407,Aborlan,PH,77.77,overcast clouds,9.4352,118.5492,Kevina Transient House
408,Sampit,ID,73.18,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
411,Toamasina,MG,77.0,scattered clouds,-18.1667,49.3833,Hotel H1
415,Caravelas,BR,80.69,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
416,Morón,AR,79.02,clear sky,-34.6534,-58.6198,Hotel Morón
417,Bengkulu,ID,75.69,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
421,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
424,Cockburn Town,TC,78.58,clear sky,21.4612,-71.1419,Osprey Beach Hotel
426,Touros,BR,81.66,clear sky,-5.1989,-35.4608,INN NEW HORIZON
428,Jalu,LY,89.8,broken clouds,29.0331,21.5482,صاحبة الفخامة
430,Nizwá,OM,78.48,clear sky,22.9333,57.5333,Orient Apartments
433,Catió,GW,76.71,clear sky,11.2833,-15.25,Pausada Morabedja
436,Dunmore Town,BS,77.97,broken clouds,25.5,-76.65,Coral Sands Hotel
440,Bermejo,AR,80.51,clear sky,-32.8833,-68.8,Hotel Mendoza
441,Roebourne,AU,82.27,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
442,Alugan,PH,79.2,overcast clouds,12.2188,125.4808,JM Lodge
444,Abonnema,NG,81.43,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
445,Wewak,PG,78.67,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
448,Guarapari,BR,82.89,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
449,Boueni,YT,80.58,clear sky,-12.9025,45.0761,The feet in water
450,Port Blair,IN,77.04,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
453,Kutum,SD,81.91,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
457,Gīdam,IN,77.04,few clouds,18.9833,81.4,Dhanshree Lodge And DormItory
458,Suaza,CO,80.2,scattered clouds,1.9761,-75.7945,moridero
459,Makokou,GA,73.67,light rain,0.5738,12.8642,Hôtel
460,Havelock,US,76.01,overcast clouds,34.8791,-76.9013,Sherwood Motel
466,Campoverde,PE,89.29,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
467,Potam,MX,81.0,clear sky,27.6,-110.3833,Ejido La Pimienta
468,Tabas,IR,81.72,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
469,Hope Mills,US,75.6,clear sky,34.9704,-78.9453,"Holiday Inn Express & Suites Hope Mills-Fayetteville Arpt, an IHG Hotel"
471,Córdoba,AR,84.76,few clouds,-31.4135,-64.1811,Hotel Sussex
474,Kailua,US,82.38,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
475,Vanimo,PG,77.34,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
479,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
480,Abéché,TD,86.81,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
483,Khandela,IN,75.97,broken clouds,27.6,75.5,Castle Khandela
484,Pontes e Lacerda,BR,82.85,few clouds,-15.2261,-59.3353,Hotel Bressan
485,Angra dos Reis,BR,76.37,overcast clouds,-23.0067,-44.3181,Mercure Angra dos Reis
489,Goldsboro,US,77.14,overcast clouds,35.3849,-77.9928,Hampton Inn Goldsboro
494,Hurghada,EG,84.24,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
498,Prachuap Khiri Khan,TH,80.69,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
499,Berbera,SO,82.94,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
502,Nueva Gerona,CU,86.31,clear sky,21.8833,-82.8,Villa Gerona
503,Puerto Baquerizo Moreno,EC,83.39,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
510,Vidalia,US,76.95,broken clouds,32.2177,-82.4135,Quality Inn & Suites
512,Lucea,JM,84.06,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
514,Caiapônia,BR,83.48,clear sky,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
516,Ocampo,MX,77.68,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
518,Kulhudhuffushi,MV,83.37,few clouds,6.6221,73.07,Haajy Guest House 1
520,Jodiya,IN,79.97,overcast clouds,22.6925,70.306,Bahucharaji Hotel
521,Villa Carlos Paz,AR,81.39,clear sky,-31.4241,-64.4978,Monte Carlo vcp
523,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
524,Amambai,BR,79.99,broken clouds,-23.1042,-55.2258,Keren Hotel
525,Port-Gentil,GA,81.25,broken clouds,-0.7193,8.7815,Fengshui Residence
526,Samarai,PG,80.02,overcast clouds,-10.6167,150.6667,Nuli Sapi
532,Kalawit,PH,77.05,overcast clouds,8.0667,122.5167,Ompoy Pension House
535,Lima,PE,71.85,clear sky,-12.0432,-77.0282,Hotel Kamana
539,Guayaramerín,BO,82.38,broken clouds,-10.8368,-65.3614,Hostal Funf
541,Yenagoa,NG,80.82,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
542,Khorramshahr,IR,76.96,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
